segment_path,source_file,speaker,original_id,segment_index,start_sample,target_class,risk_score,binary_confidence,agreement,emotion_vote,num_responses,A,D,F,H,N,S
voicevote_v61/risk/1001__1001_DFA_ANG_XX__seg00.wav,1001_DFA_ANG_XX.wav,1001,1001_DFA_ANG_XX,0,0,risk,0.85714286,0.85714286,0.66666667,A,9,6,2,0,0,1,0
voicevote_v61/risk/1001__1001_DFA_ANG_XX__seg01.wav,1001_DFA_ANG_XX.wav,1001,1001_DFA_ANG_XX,1,8000,risk,0.85714286,0.85714286,0.66666667,A,9,6,2,0,0,1,0
voicevote_v61/risk/1001__1001_DFA_ANG_XX__seg02.wav,1001_DFA_ANG_XX.wav,1001,1001_DFA_ANG_XX,2,16000,risk,0.85714286,0.85714286,0.66666667,A,9,6,2,0,0,1,0
voicevote_v61/risk/1001__1001_DFA_ANG_XX__seg03.wav,1001_DFA_ANG_XX.wav,1001,1001_DFA_ANG_XX,3,24000,risk,0.85714286,0.85714286,0.66666667,A,9,6,2,0,0,1,0
voicevote_v61/risk/1001__1001_DFA_FEA_XX__seg00.wav,1001_DFA_FEA_XX.wav,1001,1001_DFA_FEA_XX,0,0,risk,0.77777778,0.77777778,0.55555556,F,9,2,0,5,0,2,0
voicevote_v61/risk/1001__1001_DFA_FEA_XX__seg01.wav,1001_DFA_FEA_XX.wav,1001,1001_DFA_FEA_XX,1,8000,risk,0.77777778,0.77777778,0.55555556,F,9,2,0,5,0,2,0
voicevote_v61/risk/1001__1001_DFA_FEA_XX__seg02.wav,1001_DFA_FEA_XX.wav,1001,1001_DFA_FEA_XX,2,16000,risk,0.77777778,0.77777778,0.55555556,F,9,2,0,5,0,2,0
voicevote_v61/non_risk/1001__1001_DFA_SAD_XX__seg00.wav,1001_DFA_SAD_XX.wav,1001,1001_DFA_SAD_XX,0,0,non_risk,0.28571429,0.71428571,0.55555556,N,9,1,2,0,0,5,1
voicevote_v61/non_risk/1001__1001_DFA_SAD_XX__seg01.wav,1001_DFA_SAD_XX.wav,1001,1001_DFA_SAD_XX,1,8000,non_risk,0.28571429,0.71428571,0.55555556,N,9,1,2,0,0,5,1
voicevote_v61/non_risk/1001__1001_DFA_SAD_XX__seg02.wav,1001_DFA_SAD_XX.wav,1001,1001_DFA_SAD_XX,2,16000,non_risk,0.28571429,0.71428571,0.55555556,N,9,1,2,0,0,5,1
voicevote_v61/non_risk/1001__1001_IEO_ANG_LO__seg00.wav,1001_IEO_ANG_LO.wav,1001,1001_IEO_ANG_LO,0,0,non_risk,0.00000000,1.00000000,0.70000000,N,10,0,1,0,2,7,0
voicevote_v61/non_risk/1001__1001_IEO_ANG_LO__seg01.wav,1001_IEO_ANG_LO.wav,1001,1001_IEO_ANG_LO,1,8000,non_risk,0.00000000,1.00000000,0.70000000,N,10,0,1,0,2,7,0
voicevote_v61/non_risk/1001__1001_IEO_ANG_LO__seg02.wav,1001_IEO_ANG_LO.wav,1001,1001_IEO_ANG_LO,2,16000,non_risk,0.00000000,1.00000000,0.70000000,N,10,0,1,0,2,7,0
voicevote_v61/non_risk/1001__1001_IEO_DIS_LO__seg00.wav,1001_IEO_DIS_LO.wav,1001,1001_IEO_DIS_LO,0,0,non_risk,0.22222222,0.77777778,0.63636364,N,11,0,2,1,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_DIS_LO__seg01.wav,1001_IEO_DIS_LO.wav,1001,1001_IEO_DIS_LO,1,8000,non_risk,0.22222222,0.77777778,0.63636364,N,11,0,2,1,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_DIS_LO__seg02.wav,1001_IEO_DIS_LO.wav,1001,1001_IEO_DIS_LO,2,16000,non_risk,0.22222222,0.77777778,0.63636364,N,11,0,2,1,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_DIS_MD__seg00.wav,1001_IEO_DIS_MD.wav,1001,1001_IEO_DIS_MD,0,0,non_risk,0.20000000,0.80000000,0.72727273,N,11,1,1,1,0,8,0
voicevote_v61/non_risk/1001__1001_IEO_DIS_MD__seg01.wav,1001_IEO_DIS_MD.wav,1001,1001_IEO_DIS_MD,1,8000,non_risk,0.20000000,0.80000000,0.72727273,N,11,1,1,1,0,8,0
voicevote_v61/non_risk/1001__1001_IEO_DIS_MD__seg02.wav,1001_IEO_DIS_MD.wav,1001,1001_IEO_DIS_MD,2,16000,non_risk,0.20000000,0.80000000,0.72727273,N,11,1,1,1,0,8,0
voicevote_v61/non_risk/1001__1001_IEO_FEA_LO__seg00.wav,1001_IEO_FEA_LO.wav,1001,1001_IEO_FEA_LO,0,0,non_risk,0.30000000,0.70000000,0.40000000,N,10,0,0,2,3,4,1
voicevote_v61/non_risk/1001__1001_IEO_FEA_LO__seg01.wav,1001_IEO_FEA_LO.wav,1001,1001_IEO_FEA_LO,1,8000,non_risk,0.30000000,0.70000000,0.40000000,N,10,0,0,2,3,4,1
voicevote_v61/non_risk/1001__1001_IEO_HAP_HI__seg00.wav,1001_IEO_HAP_HI.wav,1001,1001_IEO_HAP_HI,0,0,non_risk,0.20000000,0.80000000,0.60000000,H,10,2,0,0,6,2,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_HI__seg01.wav,1001_IEO_HAP_HI.wav,1001,1001_IEO_HAP_HI,1,8000,non_risk,0.20000000,0.80000000,0.60000000,H,10,2,0,0,6,2,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_HI__seg02.wav,1001_IEO_HAP_HI.wav,1001,1001_IEO_HAP_HI,2,16000,non_risk,0.20000000,0.80000000,0.60000000,H,10,2,0,0,6,2,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_LO__seg00.wav,1001_IEO_HAP_LO.wav,1001,1001_IEO_HAP_LO,0,0,non_risk,0.00000000,1.00000000,0.66666667,N,9,0,0,0,3,6,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_LO__seg01.wav,1001_IEO_HAP_LO.wav,1001,1001_IEO_HAP_LO,1,8000,non_risk,0.00000000,1.00000000,0.66666667,N,9,0,0,0,3,6,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_MD__seg00.wav,1001_IEO_HAP_MD.wav,1001,1001_IEO_HAP_MD,0,0,non_risk,0.00000000,1.00000000,0.63636364,N,11,0,0,0,4,7,0
voicevote_v61/non_risk/1001__1001_IEO_HAP_MD__seg01.wav,1001_IEO_HAP_MD.wav,1001,1001_IEO_HAP_MD,1,8000,non_risk,0.00000000,1.00000000,0.63636364,N,11,0,0,0,4,7,0
voicevote_v61/non_risk/1001__1001_IEO_NEU_XX__seg00.wav,1001_IEO_NEU_XX.wav,1001,1001_IEO_NEU_XX,0,0,non_risk,0.00000000,1.00000000,0.90909091,N,11,0,0,0,1,10,0
voicevote_v61/non_risk/1001__1001_IEO_NEU_XX__seg01.wav,1001_IEO_NEU_XX.wav,1001,1001_IEO_NEU_XX,1,8000,non_risk,0.00000000,1.00000000,0.90909091,N,11,0,0,0,1,10,0
voicevote_v61/non_risk/1001__1001_IEO_SAD_HI__seg00.wav,1001_IEO_SAD_HI.wav,1001,1001_IEO_SAD_HI,0,0,non_risk,0.11111111,0.88888889,0.77777778,N,9,1,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_IEO_SAD_HI__seg01.wav,1001_IEO_SAD_HI.wav,1001,1001_IEO_SAD_HI,1,8000,non_risk,0.11111111,0.88888889,0.77777778,N,9,1,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_IEO_SAD_HI__seg02.wav,1001_IEO_SAD_HI.wav,1001,1001_IEO_SAD_HI,2,16000,non_risk,0.11111111,0.88888889,0.77777778,N,9,1,0,0,1,7,0
voicevote_v61/non_risk/1001__1001_IEO_SAD_LO__seg00.wav,1001_IEO_SAD_LO.wav,1001,1001_IEO_SAD_LO,0,0,non_risk,0.22222222,0.77777778,0.70000000,N,10,1,1,0,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_SAD_LO__seg01.wav,1001_IEO_SAD_LO.wav,1001,1001_IEO_SAD_LO,1,8000,non_risk,0.22222222,0.77777778,0.70000000,N,10,1,1,0,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_SAD_LO__seg02.wav,1001_IEO_SAD_LO.wav,1001,1001_IEO_SAD_LO,2,16000,non_risk,0.22222222,0.77777778,0.70000000,N,10,1,1,0,0,7,1
voicevote_v61/non_risk/1001__1001_IEO_SAD_MD__seg00.wav,1001_IEO_SAD_MD.wav,1001,1001_IEO_SAD_MD,0,0,non_risk,0.11111111,0.88888889,0.80000000,N,10,0,1,1,0,8,0
voicevote_v61/non_risk/1001__1001_IEO_SAD_MD__seg01.wav,1001_IEO_SAD_MD.wav,1001,1001_IEO_SAD_MD,1,8000,non_risk,0.11111111,0.88888889,0.80000000,N,10,0,1,1,0,8,0
voicevote_v61/non_risk/1001__1001_IOM_ANG_XX__seg00.wav,1001_IOM_ANG_XX.wav,1001,1001_IOM_ANG_XX,0,0,non_risk,0.30000000,0.70000000,0.70000000,N,10,1,0,2,0,7,0
voicevote_v61/non_risk/1001__1001_IOM_ANG_XX__seg01.wav,1001_IOM_ANG_XX.wav,1001,1001_IOM_ANG_XX,1,8000,non_risk,0.30000000,0.70000000,0.70000000,N,10,1,0,2,0,7,0
voicevote_v61/non_risk/1001__1001_IOM_ANG_XX__seg02.wav,1001_IOM_ANG_XX.wav,1001,1001_IOM_ANG_XX,2,16000,non_risk,0.30000000,0.70000000,0.70000000,N,10,1,0,2,0,7,0
voicevote_v61/non_risk/1001__1001_IOM_HAP_XX__seg00.wav,1001_IOM_HAP_XX.wav,1001,1001_IOM_HAP_XX,0,0,non_risk,0.09090909,0.90909091,0.54545455,N,11,1,0,0,4,6,0
voicevote_v61/non_risk/1001__1001_IOM_HAP_XX__seg01.wav,1001_IOM_HAP_XX.wav,1001,1001_IOM_HAP_XX,1,8000,non_risk,0.09090909,0.90909091,0.54545455,N,11,1,0,0,4,6,0
